sl_no,gender,ssc_p,ssc_b,hsc_p,hsc_b,hsc_s,degree_p,degree_t,workex,etest_p,specialisation,mba_p,status,salary
221,0,71.0,Central,76.0,Others,Science,67.0,Sci&Tech,Yes,86.0,Mkt&Fin,61.3,Placed,270000
222,0,63.5,Others,60.0,Others,Commerce,72.0,Comm&Mgmt,No,88.7,Mkt&HR,65.1,Placed,280000
223,1,50.0,Central,55.0,Others,Science,62.5,Sci&Tech,No,70.5,Mkt&Fin,56.2,Not Placed,
224,1,74.5,Others,80.0,Others,Commerce,77.0,Comm&Mgmt,Yes,89.0,Mkt&HR,69.8,Placed,320000
225,0,68.0,Central,72.0,Central,Science,64.0,Sci&Tech,Yes,75.0,Mkt&Fin,61.4,Placed,260000
226,1,60.0,Others,65.0,Central,Science,70.0,Sci&Tech,No,68.0,Mkt&Fin,58.5,Not Placed,
227,0,81.0,Central,85.0,Others,Commerce,75.0,Comm&Mgmt,No,91.5,Mkt&HR,73.5,Placed,380000
228,0,65.0,Others,67.0,Others,Science,66.0,Sci&Tech,Yes,76.0,Mkt&Fin,60.7,Placed,230000
229,1,53.0,Central,58.0,Others,Commerce,61.0,Comm&Mgmt,No,69.0,Mkt&Fin,54.8,Not Placed,
230,0,78.0,Others,82.0,Central,Science,80.0,Sci&Tech,Yes,87.0,Mkt&HR,70.2,Placed,310000
231,0,62.5,Central,68.0,Others,Commerce,69.0,Comm&Mgmt,No,72.0,Mkt&Fin,59.4,Placed,245000
232,1,49.0,Others,54.0,Others,Science,58.0,Sci&Tech,No,66.0,Mkt&HR,53.1,Not Placed,
233,1,70.0,Central,75.0,Others,Commerce,72.0,Comm&Mgmt,Yes,80.0,Mkt&Fin,64.9,Placed,290000
234,0,84.0,Others,88.0,Central,Science,86.0,Sci&Tech,No,93.0,Mkt&HR,75.0,Placed,400000
235,0,61.0,Central,65.0,Others,Commerce,67.0,Comm&Mgmt,No,74.0,Mkt&Fin,57.5,Placed,220000
236,1,72.5,Others,78.0,Others,Science,73.0,Sci&Tech,Yes,85.0,Mkt&Fin,63.7,Placed,275000
237,0,55.0,Central,58.5,Others,Commerce,60.0,Comm&Mgmt,No,67.5,Mkt&HR,56.0,Not Placed,
238,0,80.0,Others,84.0,Central,Science,79.0,Sci&Tech,Yes,89.0,Mkt&Fin,72.0,Placed,350000
239,1,46.0,Central,50.0,Others,Science,55.0,Sci&Tech,No,64.0,Mkt&Fin,54.0,Not Placed,
240,0,66.0,Others,70.0,Others,Commerce,68.0,Comm&Mgmt,No,76.0,Mkt&HR,61.5,Placed,240000
241,0,79.0,Central,83.0,Central,Science,76.0,Sci&Tech,Yes,88.0,Mkt&Fin,69.0,Placed,340000
242,0,60.5,Others,64.0,Others,Commerce,66.0,Comm&Mgmt,No,72.0,Mkt&HR,59.0,Placed,225000
243,1,68.5,Central,73.0,Others,Science,71.0,Sci&Tech,Yes,82.0,Mkt&Fin,64.3,Placed,290000
244,0,50.0,Others,55.0,Others,Commerce,58.0,Comm&Mgmt,No,65.0,Mkt&HR,55.5,Not Placed,
245,1,83.0,Central,87.0,Others,Science,85.0,Sci&Tech,Yes,91.0,Mkt&Fin,73.0,Placed,375000
246,0,63.0,Others,66.0,Central,Commerce,69.0,Comm&Mgmt,No,71.0,Mkt&Fin,60.2,Placed,250000
247,0,72.0,Others,78.0,Others,Science,74.0,Sci&Tech,Yes,84.0,Mkt&Fin,66.0,Placed,315000
248,1,58.0,Central,62.0,Others,Commerce,63.0,Comm&Mgmt,No,70.0,Mkt&HR,57.8,Not Placed,
249,1,77.0,Central,81.0,Others,Science,80.0,Sci&Tech,Yes,88.0,Mkt&Fin,70.5,Placed,365000
250,0,64.5,Others,68.0,Others,Commerce,66.0,Comm&Mgmt,No,75.0,Mkt&HR,61.2,Placed,255000
251,1,55.0,Central,59.0,Others,Science,60.0,Sci&Tech,Yes,68.0,Mkt&Fin,57.0,Not Placed,
252,0,81.0,Central,85.0,Others,Commerce,78.0,Comm&Mgmt,No,90.0,Mkt&HR,72.8,Placed,390000
253,0,68.0,Others,73.0,Central,Science,70.0,Sci&Tech,Yes,77.0,Mkt&Fin,63.0,Placed,265000
254,1,47.0,Central,52.0,Others,Commerce,60.0,Comm&Mgmt,No,67.0,Mkt&HR,55.1,Not Placed,
255,0,75.0,Others,79.0,Others,Science,77.0,Sci&Tech,Yes,86.0,Mkt&Fin,68.5,Placed,320000
256,1,64.0,Central,69.0,Central,Commerce,71.0,Comm&Mgmt,No,73.0,Mkt&HR,60.5,Placed,230000
257,0,57.0,Others,61.0,Others,Science,63.0,Sci&Tech,No,70.0,Mkt&Fin,58.0,Not Placed,
258,1,82.0,Central,86.0,Others,Commerce,80.0,Comm&Mgmt,Yes,92.0,Mkt&HR,73.7,Placed,370000
259,0,60.0,Others,65.0,Others,Science,66.0,Sci&Tech,No,74.0,Mkt&Fin,60.1,Placed,235000
260,1,72.0,Central,77.0,Central,Commerce,74.0,Comm&Mgmt,Yes,80.0,Mkt&HR,65.0,Placed,295000
261,0,66.0,Others,70.0,Others,Science,67.0,Sci&Tech,Yes,79.0,Mkt&Fin,61.6,Placed,280000
262,0,54.0,Central,58.0,Others,Commerce,60.0,Comm&Mgmt,No,67.0,Mkt&HR,55.8,Not Placed,
263,0,77.0,Others,81.0,Others,Science,76.0,Sci&Tech,No,89.0,Mkt&Fin,70.0,Placed,345000
264,1,50.5,Central,55.0,Others,Commerce,57.0,Comm&Mgmt,No,64.5,Mkt&HR,54.0,Not Placed,
265,0,74.0,Others,78.0,Central,Science,73.0,Sci&Tech,Yes,84.0,Mkt&Fin,67.0,Placed,310000
266,0,67.0,Central,72.0,Others,Commerce,70.0,Comm&Mgmt,No,76.0,Mkt&HR,62.4,Placed,260000
267,1,59.0,Others,63.0,Others,Science,62.0,Sci&Tech,No,71.0,Mkt&Fin,58.2,Not Placed,
268,0,85.0,Central,88.0,Others,Commerce,83.0,Comm&Mgmt,Yes,92.0,Mkt&HR,75.4,Placed,415000
269,1,56.5,Central,61.0,Others,Science,64.0,Sci&Tech,No,69.0,Mkt&Fin,57.5,Not Placed,
270,0,70.5,Others,75.0,Others,Commerce,73.0,Comm&Mgmt,Yes,81.0,Mkt&HR,65.7,Placed,285000
271,1,62.0,Central,66.0,Others,Science,65.0,Sci&Tech,No,73.0,Mkt&Fin,60.4,Placed,240000
272,0,47.0,Others,52.0,Others,Commerce,55.0,Comm&Mgmt,No,63.0,Mkt&HR,53.2,Not Placed,
273,1,79.0,Central,83.0,Others,Science,78.0,Sci&Tech,Yes,88.0,Mkt&Fin,71.8,Placed,355000
274,1,53.0,Central,57.5,Others,Commerce,60.0,Comm&Mgmt,No,66.0,Mkt&HR,55.3,Not Placed,
275,0,69.0,Others,73.0,Others,Science,71.0,Sci&Tech,Yes,80.0,Mkt&Fin,64.5,Placed,265000
276,0,72.0,Central,77.0,Others,Science,74.0,Sci&Tech,Yes,83.0,Mkt&HR,67.5,Placed,300000
277,1,58.0,Others,63.0,Others,Commerce,60.0,Comm&Mgmt,No,70.0,Mkt&Fin,57.0,Not Placed,
278,0,81.5,Others,85.0,Others,Science,80.0,Sci&Tech,Yes,90.0,Mkt&HR,73.6,Placed,370000
279,0,61.0,Central,66.0,Others,Science,64.0,Sci&Tech,No,72.0,Mkt&Fin,59.5,Not Placed,
280,1,75.0,Others,80.0,Others,Commerce,77.0,Comm&Mgmt,Yes,85.0,Mkt&HR,69.8,Placed,320000
281,1,53.5,Central,58.0,Others,Science,56.0,Sci&Tech,No,67.0,Mkt&Fin,54.2,Not Placed,
282,0,68.0,Central,73.0,Others,Commerce,70.0,Comm&Mgmt,Yes,78.0,Mkt&HR,62.3,Placed,255000
283,1,49.0,Others,53.0,Others,Science,52.0,Sci&Tech,No,61.0,Mkt&Fin,50.8,Not Placed,
284,0,84.0,Central,88.0,Others,Commerce,83.0,Comm&Mgmt,Yes,92.0,Mkt&HR,74.5,Placed,410000
285,1,60.0,Others,65.0,Others,Science,63.0,Sci&Tech,No,71.0,Mkt&Fin,58.4,Not Placed,
286,0,73.0,Others,78.0,Others,Commerce,75.0,Comm&Mgmt,Yes,82.0,Mkt&HR,66.7,Placed,295000
287,1,56.0,Central,61.0,Others,Science,59.0,Sci&Tech,No,69.0,Mkt&Fin,55.6,Not Placed,
288,0,90.0,Others,94.0,Others,Science,89.0,Sci&Tech,Yes,96.0,Mkt&Fin,80.2,Placed,430000
289,1,47.5,Central,52.0,Others,Commerce,50.0,Comm&Mgmt,No,60.0,Mkt&HR,49.3,Not Placed,
290,0,64.0,Others,69.0,Others,Science,66.0,Sci&Tech,Yes,75.0,Mkt&Fin,61.7,Placed,260000
291,0,72.5,Central,77.0,Others,Commerce,73.0,Comm&Mgmt,Yes,82.0,Mkt&HR,66.4,Placed,305000
292,1,59.0,Others,64.0,Others,Science,62.0,Sci&Tech,No,70.0,Mkt&Fin,56.8,Not Placed,
293,0,85.0,Others,89.0,Others,Science,84.0,Sci&Tech,Yes,93.0,Mkt&HR,76.2,Placed,420000
294,1,52.0,Central,57.0,Others,Commerce,54.0,Comm&Mgmt,No,64.0,Mkt&Fin,53.0,Not Placed,
295,0,76.0,Others,81.0,Others,Science,78.0,Sci&Tech,Yes,86.0,Mkt&Fin,69.0,Placed,330000
296,1,55.0,Others,60.0,Others,Commerce,57.0,Comm&Mgmt,No,67.0,Mkt&HR,55.5,Not Placed,
297,0,69.0,Central,74.0,Others,Science,71.0,Sci&Tech,Yes,79.0,Mkt&Fin,63.8,Placed,275000
298,1,50.0,Others,55.0,Others,Science,53.0,Sci&Tech,No,63.0,Mkt&HR,51.0,Not Placed,
299,0,80.5,Others,85.0,Others,Science,82.0,Sci&Tech,Yes,90.0,Mkt&Fin,72.5,Placed,375000
300,1,62.0,Central,66.0,Others,Commerce,64.0,Comm&Mgmt,Yes,73.0,Mkt&HR,60.7,Placed,270000
301,0,74.0,Others,79.0,Others,Science,76.0,Sci&Tech,Yes,83.0,Mkt&HR,67.4,Placed,310000
302,1,63.0,Others,68.0,Others,Commerce,65.0,Comm&Mgmt,No,72.0,Mkt&Fin,57.5,Not Placed,
303,0,81.0,Central,85.0,Others,Science,80.0,Sci&Tech,Yes,89.0,Mkt&HR,72.8,Placed,365000
304,0,60.0,Others,65.0,Others,Science,62.0,Sci&Tech,No,71.0,Mkt&Fin,58.3,Not Placed,
305,1,76.0,Others,81.0,Others,Commerce,78.0,Comm&Mgmt,Yes,87.0,Mkt&HR,70.9,Placed,325000
306,1,55.0,Central,60.0,Others,Science,57.0,Sci&Tech,No,68.0,Mkt&Fin,54.5,Not Placed,
307,0,69.0,Others,74.0,Others,Commerce,72.0,Comm&Mgmt,Yes,80.0,Mkt&HR,63.6,Placed,275000
308,1,51.0,Others,56.0,Others,Science,53.0,Sci&Tech,No,62.0,Mkt&Fin,50.4,Not Placed,
309,0,85.0,Central,90.0,Others,Science,83.0,Sci&Tech,Yes,94.0,Mkt&HR,74.8,Placed,410000
310,1,61.0,Others,66.0,Others,Science,64.0,Sci&Tech,No,73.0,Mkt&Fin,59.0,Not Placed,
311,0,73.0,Others,78.0,Others,Commerce,75.0,Comm&Mgmt,Yes,81.0,Mkt&HR,66.9,Placed,300000
312,1,57.0,Central,62.0,Others,Science,60.0,Sci&Tech,No,69.0,Mkt&Fin,56.0,Not Placed,
313,0,90.0,Others,95.0,Others,Science,88.0,Sci&Tech,Yes,97.0,Mkt&HR,80.0,Placed,435000
314,1,48.0,Central,53.0,Others,Commerce,51.0,Comm&Mgmt,No,61.0,Mkt&Fin,49.5,Not Placed,
315,0,65.0,Others,70.0,Others,Science,67.0,Sci&Tech,Yes,76.0,Mkt&Fin,62.5,Placed,265000
316,0,73.5,Central,78.0,Others,Commerce,74.0,Comm&Mgmt,Yes,83.0,Mkt&HR,67.2,Placed,315000
317,1,59.0,Others,64.0,Others,Science,62.0,Sci&Tech,No,71.0,Mkt&Fin,57.0,Not Placed,
318,0,84.0,Others,89.0,Others,Science,85.0,Sci&Tech,Yes,92.0,Mkt&HR,75.0,Placed,420000
319,1,53.0,Central,58.0,Others,Commerce,55.0,Comm&Mgmt,No,65.0,Mkt&Fin,52.0,Not Placed,
320,0,77.0,Others,82.0,Others,Science,79.0,Sci&Tech,Yes,88.0,Mkt&Fin,70.0,Placed,335000
321,1,54.0,Others,59.0,Others,Commerce,56.0,Comm&Mgmt,No,66.0,Mkt&HR,54.5,Not Placed,
322,0,68.0,Central,73.0,Others,Science,70.0,Sci&Tech,Yes,79.0,Mkt&Fin,63.5,Placed,285000
323,1,50.0,Others,55.0,Others,Science,52.0,Sci&Tech,No,64.0,Mkt&HR,51.2,Not Placed,
324,0,81.5,Others,86.0,Others,Science,83.0,Sci&Tech,Yes,92.0,Mkt&Fin,74.7,Placed,380000
325,1,61.0,Central,66.0,Others,Commerce,64.0,Comm&Mgmt,Yes,72.0,Mkt&HR,60.3,Placed,280000
326,0,55.0,Others,60.0,Others,Science,57.0,Sci&Tech,No,68.0,Mkt&Fin,54.3,Not Placed,
327,0,72.0,Central,77.0,Others,Science,74.0,Sci&Tech,Yes,84.0,Mkt&HR,67.7,Placed,295000
328,1,49.0,Others,54.0,Others,Science,51.0,Sci&Tech,No,61.0,Mkt&Fin,50.2,Not Placed,
329,0,86.0,Others,91.0,Others,Science,85.0,Sci&Tech,Yes,95.0,Mkt&HR,75.0,Placed,440000
330,1,52.0,Others,57.0,Others,Commerce,54.0,Comm&Mgmt,No,63.0,Mkt&Fin,52.7,Not Placed,
331,0,78.0,Others,83.0,Others,Science,80.0,Sci&Tech,Yes,89.0,Mkt&HR,71.0,Placed,350000
332,1,54.0,Central,59.0,Others,Science,56.0,Sci&Tech,No,66.0,Mkt&Fin,54.8,Not Placed,
333,0,70.0,Others,75.0,Others,Science,72.0,Sci&Tech,Yes,81.0,Mkt&HR,65.2,Placed,310000
334,1,46.0,Others,51.0,Others,Science,48.0,Sci&Tech,No,60.0,Mkt&Fin,48.5,Not Placed,
335,0,87.0,Others,92.0,Others,Science,88.0,Sci&Tech,Yes,96.0,Mkt&HR,76.5,Placed,450000
336,1,53.0,Central,58.0,Others,Commerce,55.0,Comm&Mgmt,No,64.0,Mkt&Fin,52.9,Not Placed,
337,0,79.0,Others,84.0,Others,Science,81.0,Sci&Tech,Yes,90.0,Mkt&HR,71.9,Placed,360000
338,1,58.0,Others,63.0,Others,Science,61.0,Sci&Tech,No,69.0,Mkt&Fin,56.5,Not Placed,
339,0,71.5,Others,76.0,Others,Commerce,74.0,Comm&Mgmt,Yes,82.0,Mkt&HR,66.4,Placed,325000
340,1,50.0,Others,55.0,Others,Science,52.0,Sci&Tech,No,64.0,Mkt&Fin,50.7,Not Placed,
341,0,88.5,Others,93.0,Others,Science,89.0,Sci&Tech,Yes,96.0,Mkt&HR,77.0,Placed,460000
342,1,61.0,Others,66.0,Others,Commerce,64.0,Comm&Mgmt,Yes,72.0,Mkt&Fin,60.0,Placed,285000
343,0,56.0,Others,61.0,Others,Science,58.0,Sci&Tech,No,67.0,Mkt&Fin,54.0,Not Placed,
